#{"t_start": 1646238557.6843512, "env_id": null}
r,l,t
-600,201,69.960998
-189,189,70.205701
-599,200,70.456896
-599,200,70.715029
-599,200,70.971104
-160,160,71.16798
-599,200,71.418057
-599,200,71.657525
-599,200,71.916783
-599,200,72.163826
-599,200,72.408888
-599,200,72.657858
-599,200,72.903017
-599,200,73.154465
-599,200,73.408364
-599,200,73.659372
-599,200,73.895901
-599,200,74.152081
-147,147,74.336953
-599,200,74.579247
-599,200,74.821591
-599,200,75.073246
-123,123,75.223926
-599,200,75.472021
-599,200,75.717656
-599,200,75.955441
-599,200,76.199311
-155,155,76.38516
-599,200,76.616378
-599,200,76.851767
-599,200,77.084262
-599,200,77.32042
-599,200,77.552964
-599,200,77.782779
-600,201,78.023767
-599,200,78.254714
-599,200,78.483978
-599,200,78.716751
-599,200,78.94922
-121,121,79.092018
-599,200,79.326099
-599,200,79.563037
-599,200,79.795357
-599,200,80.031143
-599,200,80.266667
-599,200,80.500738
-599,200,80.753047
-599,200,81.00297
-157,157,81.191378
-599,200,81.425171
-599,200,81.662514
-599,200,81.902755
-599,200,82.135083
-599,200,82.372516
-599,200,82.611142
-599,200,82.848969
-599,200,83.085431
-599,200,83.31802
-599,200,83.557734
-599,200,83.80164
-599,200,84.04056
-599,200,84.293451
-599,200,84.527596
-124,124,84.672675
-146,146,84.840818
-599,200,85.085945
-599,200,85.319402
-599,200,85.559173
-57,57,85.627123
-599,200,85.865532
-153,153,86.049674
-599,200,86.296726
-600,201,86.530389
-599,200,86.7618
-599,200,86.998758
-599,200,87.237888
-189,190,87.465795
-599,200,87.701533
-599,200,87.941264
-599,200,88.180211
-599,200,88.413696
-599,200,88.655937
-599,200,88.887585
-599,200,89.122663
-599,200,89.36472
-599,200,89.605191
-599,200,89.841447
-599,200,90.079529
-599,200,90.319415
-148,148,90.491149
-599,200,90.729025
-599,200,90.969931
-599,200,91.217282
-599,200,91.459031
-599,200,91.700099
-599,200,91.936692
-599,200,92.172541
-599,200,92.410068
-181,181,92.628659
-599,200,92.864648
-599,200,93.109171
-598,200,93.350705
-142,142,93.526343
-599,200,93.764772
-599,200,94.005513
-599,200,94.238227
-599,200,94.475332
-599,200,94.71136
-599,200,94.949662
-599,200,95.18254
-196,196,95.411703
-599,200,95.650687
-599,200,95.890351
-153,153,96.071018
-599,200,96.311951
-193,193,96.53773
-599,200,96.772347
-599,200,97.008574
-145,145,97.179271
-599,200,97.41836
-599,200,97.660485
-599,200,97.957268
-599,200,98.196339
-599,200,98.437133
-599,200,98.670779
-144,144,98.842772
-599,200,99.134394
-124,124,99.28837
-188,188,99.515254
-151,151,99.703691
-599,200,99.944012
-599,200,100.191319
-599,200,100.431977
-599,200,100.676799
-599,200,100.91341
-178,178,101.123107
-599,200,101.361559
-187,187,101.585803
-599,200,101.819605
-599,200,102.06655
-599,200,102.304313
-599,200,102.552635
-599,200,102.787832
-151,151,102.973451
-599,200,103.214692
-599,200,103.45148
-599,200,103.688807
-599,200,103.926565
-599,200,104.16217
-599,200,104.40673
-599,200,104.642612
-599,200,104.889946
-137,137,105.054042
-599,200,105.287643
-599,200,105.523053
-599,200,105.762627
-599,200,105.992661
-599,200,106.231758
-599,200,106.468372
-599,200,106.707883
-599,200,106.946847
-599,200,107.194328
-599,200,107.434597
-599,200,107.668849
-599,200,107.908463
-599,200,108.164473
-599,200,108.401751
-87,87,108.503977
-599,200,108.7399
-599,200,108.975826
-599,200,109.215571
-599,200,109.465448
-599,200,109.699064
-599,200,109.935709
-599,200,110.171041
-599,200,110.412251
-599,200,110.653612
-600,201,110.888269
-599,200,111.119591
-599,200,111.360429
-193,193,111.591559
-599,200,111.834273
-147,147,112.009861
-599,200,112.254383
-599,200,112.487444
-599,200,112.732794
-599,200,112.972518
-599,200,113.213668
-599,200,113.451454
-599,200,113.68819
-599,200,113.92848
-599,200,114.173391
-599,200,114.411912
-599,200,114.647859
-174,174,114.854336
-599,200,115.098054
-95,95,115.210299
-599,200,115.449718
-83,83,115.551478
-115,115,115.691704
-599,200,115.92775
-599,200,116.171817
-599,200,116.413898
-599,200,116.652951
-599,200,116.887933
-129,129,117.040553
-138,138,117.204125
-599,200,117.445926
-599,200,117.685163
-599,200,117.921124
-599,200,118.159265
-599,200,118.406337
-599,200,118.64891
-599,200,118.885452
-599,200,119.144071
-599,200,119.385805
-599,200,119.626798
-599,200,119.871412
-178,178,120.088576
-599,200,120.323257
-599,200,120.558503
-599,200,120.804388
-599,200,121.039479
-599,200,121.287521
-599,200,121.524478
-62,62,121.596736
-599,200,121.831263
-599,200,122.066357
-599,200,122.308467
-599,200,122.544623
-98,98,122.66329
-599,200,122.907735
-600,201,123.143163
-599,200,123.383072
-140,140,123.556382
-599,200,123.790446
-599,200,124.033195
-599,200,124.272463
-199,199,124.512573
-599,200,124.754976
-599,200,124.988201
-599,200,125.241129
-598,200,125.476027
-599,200,125.712679
-599,200,125.955464
-599,200,126.189919
-599,200,126.435911
-599,200,126.675467
-599,200,126.91763
-599,200,127.163404
-599,200,127.402282
-599,200,127.656179
-599,200,127.892279
-599,200,128.13488
-599,200,128.3788
-599,200,128.616001
-599,200,128.853193
-599,200,129.093371
-599,200,129.330639
-599,200,129.577092
-599,200,129.818003
-191,191,130.063644
-599,200,130.300109
-599,200,130.542092
-599,200,130.789876
-180,180,131.003399
-599,200,131.245809
-599,200,131.485091
-599,200,131.72424
-599,200,131.97027
-599,200,132.211041
-599,200,132.466276
-599,200,132.70317
-599,200,132.9461
-599,200,133.19209
-141,141,133.363883
-599,200,133.606863
-599,200,133.843119
-199,199,134.078415
-599,200,134.321613
-599,200,134.562893
-599,200,134.813184
-599,200,135.055804
-122,122,135.201421
-599,200,135.444479
-599,200,135.690256
-599,200,135.92984
-145,145,136.10236
-599,200,136.350218
-599,200,136.591281
-599,200,136.83467
-103,103,136.97229
-599,200,137.210638
-599,200,137.445655
-599,200,137.702836
-599,200,137.942255
-599,200,138.185681
-599,200,138.441198
-599,200,138.67899
-601,202,138.924916
-169,169,139.126842
-599,200,139.409792
-195,195,139.64256
-599,200,139.876519
-599,200,140.115843
-599,200,140.356365
-599,200,140.603761
-164,164,140.798309
-599,200,141.034921
-599,200,141.275706
-599,200,141.516367
-599,200,141.768074
-599,200,142.011821
-599,200,142.252032
-599,200,142.495763
-599,200,142.736626
-600,201,142.98347
-599,200,143.223698
-599,200,143.460473
-599,200,143.701335
-599,200,143.947235
-599,200,144.207207
-599,200,144.444448
-599,200,144.684511
-599,200,144.92481
-601,202,145.164863
-599,200,145.420727
-599,200,145.664497
-599,200,145.898364
-599,200,146.137755
-599,200,146.382636
-599,200,146.643928
-599,200,146.88434
-67,67,146.964839
-92,92,147.11837
-147,147,147.3104
-599,200,147.566602
-599,200,147.816289
-599,200,148.05445
-182,182,148.277133
-599,200,148.517726
-599,200,148.76704
-599,200,149.007621
-599,200,149.255418
-599,200,149.505265
-599,200,149.74717
-599,200,149.991885
-599,200,150.236198
-599,200,150.478168
-599,200,150.719992
-68,68,150.808691
-599,200,151.059263
-599,200,151.306597
-599,200,151.557851
-599,200,151.802553
-599,200,152.046716
-599,200,152.287695
-599,200,152.530656
-599,200,152.777727
-599,200,153.017967
-599,200,153.269632
-599,200,153.5213
-136,136,153.686663
-599,200,153.930326
-599,200,154.179794
-599,200,154.4276
-599,200,154.6744
-599,200,154.917388
-191,191,155.149059
-599,200,155.39786
-599,200,155.646593
-599,200,155.904246
-599,200,156.152403
-599,200,156.396713
-87,87,156.509311
-599,200,156.751571
-599,200,156.992774
-599,200,157.238712
-599,200,157.483915
-599,200,157.730946
-599,200,157.975176
-599,200,158.230278
-599,200,158.473037
-599,200,158.716989
-599,200,158.961956
-599,200,159.207618
-599,200,159.452569
-599,200,159.695815
-599,200,159.948781
-599,200,160.198642
-599,200,160.443654
-599,200,160.705089
-599,200,160.949824
-599,200,161.194529
-33,33,161.240712
-599,200,161.488659
-599,200,161.731918
-193,193,161.970232
-599,200,162.214565
-599,200,162.456641
-599,200,162.706373
-599,200,162.960029
-599,200,163.205343
-599,200,163.448653
-599,200,163.69209
-599,200,163.942704
-599,200,164.18809
-599,200,164.427398
-599,200,164.670608
-599,200,164.912947
-599,200,165.163125
-599,200,165.418927
-599,200,165.663322
-599,200,165.90813
-599,200,166.151247
-599,200,166.401548
-599,200,166.648179
-599,200,166.891028
-599,200,167.137499
-599,200,167.38456
-599,200,167.636376
-599,200,167.894626
-599,200,168.138345
-599,200,168.387509
-599,200,168.631077
-599,200,168.884331
-599,200,169.127539
-599,200,169.372962
-599,200,169.621763
-599,200,169.865069
-599,200,170.114827
-599,200,170.369406
-599,200,170.612558
-599,200,170.862609
-599,200,171.104755
-599,200,171.36363
-599,200,171.608457
-599,200,171.856636
-599,200,172.104153
-599,200,172.351506
-599,200,172.601652
-599,200,172.858425
-599,200,173.10698
-599,200,173.35332
-599,200,173.598726
-599,200,173.849969
-599,200,174.111202
-599,200,174.362484
-599,200,174.606185
-599,200,174.849274
-599,200,175.103516
-599,200,175.363687
-599,200,175.61451
-599,200,175.8581
-599,200,176.104606
-599,200,176.359356
-599,200,176.605137
-599,200,176.848203
-599,200,177.095458
-599,200,177.342889
-599,200,177.595813
-599,200,177.853431
-599,200,178.101803
-599,200,178.350346
-599,200,178.598563
-599,200,178.845989
-598,200,179.091747
-599,200,179.339458
-599,200,179.588981
-599,200,179.834631
-599,200,180.089973
-599,200,180.345415
-599,200,180.593832
-599,200,180.841616
-599,200,181.08833
-599,200,181.342713
-599,200,181.58666
-599,200,181.833008
-599,200,182.079053
-598,200,182.324811
-598,200,182.575166
-599,200,182.830734
-599,200,183.082768
-599,200,183.331654
-598,200,183.579815
-599,200,183.841243
-599,200,184.089149
-599,200,184.338662
-599,200,184.58961
-599,200,184.837496
-599,200,185.088137
-599,200,185.349836
-599,200,185.600424
-156,156,185.798991
-599,200,186.054243
-599,200,186.314437
-599,200,186.566743
-599,200,186.820341
-599,200,187.071994
-599,200,187.322765
-599,200,187.578603
-599,200,187.84236
-599,200,188.094272
-599,200,188.339962
-599,200,188.588346
-599,200,188.845383
-599,200,189.092278
-599,200,189.342386
-599,200,189.591926
-599,200,189.845835
-598,200,190.103127
-599,200,190.361779
-599,200,190.610913
-599,200,190.864866
-599,200,191.121555
-599,200,191.379469
-599,200,191.629727
-599,200,191.884695
-599,200,192.136351
-599,200,192.387539
-599,200,192.643797
-599,200,192.908524
-599,200,193.160035
-599,200,193.415349
-599,200,193.668306
-599,200,193.925628
-599,200,194.17363
-599,200,194.424386
-598,200,194.670046
-599,200,194.921343
-599,200,195.184235
-599,200,195.44285
-599,200,195.691479
-599,200,195.940214
-600,201,196.194369
-599,200,196.450012
-598,200,196.703644
-599,200,196.95482
-599,200,197.203257
-599,200,197.453941
-599,200,197.711963
-599,200,197.971576
-599,200,198.22278
-599,200,198.472118
-599,200,198.720407
-599,200,198.975261
-599,200,199.226466
-599,200,199.477671
-599,200,199.728891
-599,200,199.976115
-599,200,200.228471
-599,200,200.490213
-599,200,200.746088
-599,200,200.999249
-599,200,201.257135
-599,200,201.513067
-599,200,201.762687
-185,185,201.996449
-599,200,202.247287
-599,200,202.498228
-599,200,202.753739
-599,200,203.024878
-599,200,203.27845
-599,200,203.532213
-598,200,203.782753
-599,200,204.034956
-599,200,204.286819
-599,200,204.538977
