#{"t_start": 1648051044.8506536, "env_id": null}
r,l,t
-45,45,4.289529
-113,113,4.295122
-21,21,4.296295
-48,48,4.298773
-92,92,4.305538
-66,66,4.309042
-70,70,4.312617
-6,6,4.313057
-4,4,4.313449
-6,6,4.31389
-193,193,4.323437
-31,31,4.325135
-46,46,4.327485
-4,4,4.32787
-40,40,4.330128
-119,119,4.335974
-13,13,4.33677
-68,68,4.340183
-10,10,4.340854
-8,8,4.341409
-93,93,4.34604
-102,102,4.351232
-10,10,4.351887
-24,24,4.353237
-3,3,4.353722
-188,188,4.365035
-19,19,4.366142
-68,68,4.36953
-60,60,4.372583
-63,63,4.375775
-599,200,4.385721
-181,181,4.394516
-599,200,4.404171
-12,12,4.404929
-2,2,4.405339
-88,88,4.412907
-599,200,4.422406
-44,44,4.424669
-20,20,4.425808
-5,5,4.426246
-104,104,4.431273
-71,71,4.434859
-599,200,4.444326
-9,9,4.44498
-87,87,4.449438
-40,40,4.451523
-11,11,4.452236
-22,22,4.453425
-28,28,4.455056
-35,35,4.456921
-91,91,4.463529
-84,84,4.467714
-14,14,4.46855
-25,25,4.469931
-599,200,4.479627
-69,69,4.483109
-56,56,4.485907
-11,11,4.486613
-4,4,4.487007
-44,44,4.489299
-8,8,4.489858
-25,25,4.491231
-30,30,4.492825
-20,20,4.49397
-48,48,4.496559
-599,200,4.505998
-28,28,4.507557
-158,158,4.517223
-12,12,4.517971
-25,25,4.519349
-16,16,4.520268
-170,170,4.528478
-71,71,4.532001
-599,200,4.541512
-199,199,4.551201
-150,150,4.558443
-11,11,4.559177
-17,17,4.56018
-7,7,4.560712
-50,50,4.563263
-94,94,4.570057
-164,164,4.578109
-30,30,4.579762
-33,33,4.581551
-21,21,4.582886
-33,33,4.584618
-130,130,4.591113
-33,33,4.592867
-59,59,4.595901
-17,17,4.59691
-25,25,4.598383
-599,200,4.607985
-32,32,4.609757
-74,74,4.613405
-17,17,4.614539
-15,15,4.615397
-30,30,4.617086
-91,91,4.623817
-62,62,4.627019
-8,8,4.627575
-12,12,4.628413
-23,23,4.629747
-20,20,4.63091
-134,134,4.637518
-27,27,4.639187
-44,44,4.641546
-51,51,4.644206
-11,11,4.64492
-111,111,4.650506
-32,32,4.652247
-8,8,4.652811
-9,9,4.653439
-93,93,4.658042
-4,4,4.658425
-154,154,4.666108
-194,194,4.677695
-55,55,4.680616
-72,72,4.684198
-13,13,4.685323
-43,43,4.687663
-10,10,4.688336
-16,16,4.689322
-599,200,4.698785
-6,6,4.69929
-9,9,4.700037
-7,7,4.700551
-15,15,4.701509
-152,152,4.708788
-45,45,4.71113
-18,18,4.712181
-102,102,4.71714
-90,90,4.721618
-2,2,4.721913
-131,131,4.730433
-15,15,4.731473
-42,42,4.733615
-5,5,4.734064
-111,111,4.739582
-94,94,4.744221
-13,13,4.74509
-85,85,4.74922
-148,148,4.756467
-83,83,4.760577
-2,2,4.760885
-5,5,4.761418
-100,100,4.766279
-103,103,4.771457
-97,97,4.776238
-17,17,4.777255
-76,76,4.783143
-7,7,4.783687
-15,15,4.784621
-43,43,4.786882
-15,15,4.787788
-95,95,4.792614
-5,5,4.793011
-24,24,4.794369
-129,129,4.800706
-90,90,4.805239
-97,97,4.809951
-90,90,4.81443
-30,30,4.816042
-9,9,4.816657
-21,21,4.817812
-94,94,4.822643
-84,84,4.826769
-12,12,4.82755
-55,55,4.830353
-150,150,4.839719
-19,19,4.84087
-15,15,4.841763
-28,28,4.843291
-21,21,4.844461
-24,24,4.84578
-90,90,4.850291
-5,5,4.850708
-82,82,4.854887
-193,193,4.864266
-115,115,4.869915
-4,4,4.870273
-56,56,4.873233
-15,15,4.874143
-50,50,4.876713
-3,3,4.87703
-40,40,4.879242
-33,33,4.881023
-22,22,4.882243
-10,10,4.882886
-9,9,4.883504
-11,11,4.884199
-37,37,4.888254
-79,79,4.89218
-29,29,4.893746
-142,142,4.900554
-195,195,4.910182
-24,24,4.911608
-25,25,4.912977
-36,36,4.914884
-26,26,4.916301
-116,116,4.922098
-37,37,4.924083
